association_id,inspection_id,frame_id,image_id,label_disease_id,memory_id,association_status,rule_basis,use_disease_id_score,association_mode,association_score,spatial_distance_score,area_similarity_score,temporal_continuity_score,risk_similarity_score,confidence_level,match_type,candidate_count,top_candidate_ids,score_margin,conflict_reason,needs_manual_review,bbox_fields_present,geometry_score_applied,geometry_feature_available,geometry_limit_note,mileage_text,clock_direction,disease_type,kict_area_px,risk_level,growth_trend,kict_image_path,kict_mask_path
ASSOC-I001-I001_000040,I001,40,I001_000040,D001,MEM-D001,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D001:1.0000|MEM-D002:0.9522|MEM-D003:0.8750,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+019.5,3点,spalling,9726,高,基本稳定,images/0036_103_35.png,masks/0036_103_35.png
ASSOC-I002-I002_000040,I002,40,I002_000040,D001,MEM-D001,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D001:1.0000|MEM-D002:0.9522|MEM-D003:0.8750,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+019.5,3点,spalling,9726,高,基本稳定,images/0036_103_35_180.png,masks/0036_103_35_180.png
ASSOC-I003-I003_000040,I003,40,I003_000040,D001,MEM-D001,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D001:1.0000|MEM-D002:0.9522|MEM-D003:0.8750,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+019.5,3点,spalling,9726,高,基本稳定,images/0036_103_35_270.png,masks/0036_103_35_270.png
ASSOC-I001-I001_000041,I001,41,I001_000041,D002,MEM-D002,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D002:1.0000|MEM-D001:0.9522|MEM-D003:0.8713,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+020.0,4点,spalling,9726,高,基本稳定,images/0036_103_35_90.png,masks/0036_103_35_90.png
ASSOC-I002-I002_000041,I002,41,I002_000041,D002,MEM-D002,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D002:1.0000|MEM-D001:0.9522|MEM-D003:0.8713,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+020.0,4点,spalling,9726,高,基本稳定,images/0036_104_35.png,masks/0036_104_35.png
ASSOC-I003-I003_000041,I003,41,I003_000041,D002,MEM-D002,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D002:1.0000|MEM-D001:0.9522|MEM-D003:0.8713,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+020.0,4点,spalling,9726,高,基本稳定,images/0036_104_35_180.png,masks/0036_104_35_180.png
ASSOC-I001-I001_000018,I001,18,I001_000018,D003,MEM-D003,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D003:1.0000|MEM-D005:0.9373|MEM-D001:0.8750,0.0627,,true,true,false,false,bbox fields present but not used in scoring,K12+008.5,5点,crack,9726,高,基本稳定,images/0036_104_35_270.png,masks/0036_104_35_270.png
ASSOC-I002-I002_000018,I002,18,I002_000018,D003,MEM-D003,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D003:1.0000|MEM-D005:0.9373|MEM-D001:0.8750,0.0627,,true,true,false,false,bbox fields present but not used in scoring,K12+008.5,5点,crack,9726,高,基本稳定,images/0036_104_35_90.png,masks/0036_104_35_90.png
ASSOC-I003-I003_000018,I003,18,I003_000018,D003,MEM-D003,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,medium,soft,10,MEM-D003:1.0000|MEM-D005:0.9373|MEM-D001:0.8750,0.0627,,true,true,false,false,bbox fields present but not used in scoring,K12+008.5,5点,crack,9726,高,基本稳定,images/0036_105_35.png,masks/0036_105_35.png
ASSOC-I001-I001_000180,I001,180,I001_000180,D004,MEM-D004,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,1.0000,1.0000,1.0000,1.0000,1.0000,high,soft,10,MEM-D004:1.0000|MEM-D007:0.7787|MEM-D001:0.7353,0.2213,,false,true,false,false,bbox fields present but not used in scoring,K12+089.5,11点,spalling,9726,高,基本稳定,images/0036_105_35_180.png,masks/0036_105_35_180.png
