association_id,inspection_id,frame_id,image_id,disease_id,memory_id,association_status,rule_basis,association_score,spatial_distance_score,area_similarity_score,temporal_continuity_score,risk_similarity_score,confidence_level,match_type,candidate_count,top_candidate_ids,score_margin,conflict_reason,needs_manual_review,mileage_text,clock_direction,disease_type,kict_area_px,risk_level,growth_trend,kict_image_path,kict_mask_path
ASSOC-I001-40-D001,I001,40,I001_000040,D001,MEM-D001,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D001:1.0000|MEM-D002:0.8094|MEM-D003:0.7438,0.1906,,false,K12+019.5,3点,spalling,9726,高,基本稳定,images/0036_103_35.png,masks/0036_103_35.png
ASSOC-I002-40-D001,I002,40,I002_000040,D001,MEM-D001,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D001:1.0000|MEM-D002:0.8094|MEM-D003:0.7438,0.1906,,false,K12+019.5,3点,spalling,9726,高,基本稳定,images/0036_103_35_180.png,masks/0036_103_35_180.png
ASSOC-I003-40-D001,I003,40,I003_000040,D001,MEM-D001,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D001:1.0000|MEM-D002:0.8094|MEM-D003:0.7438,0.1906,,false,K12+019.5,3点,spalling,9726,高,基本稳定,images/0036_103_35_270.png,masks/0036_103_35_270.png
ASSOC-I001-41-D002,I001,41,I001_000041,D002,MEM-D002,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D002:1.0000|MEM-D001:0.8094|MEM-D003:0.7406,0.1906,,false,K12+020.0,4点,spalling,9726,高,基本稳定,images/0036_103_35_90.png,masks/0036_103_35_90.png
ASSOC-I002-41-D002,I002,41,I002_000041,D002,MEM-D002,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D002:1.0000|MEM-D001:0.8094|MEM-D003:0.7406,0.1906,,false,K12+020.0,4点,spalling,9726,高,基本稳定,images/0036_104_35.png,masks/0036_104_35.png
ASSOC-I003-41-D002,I003,41,I003_000041,D002,MEM-D002,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D002:1.0000|MEM-D001:0.8094|MEM-D003:0.7406,0.1906,,false,K12+020.0,4点,spalling,9726,高,基本稳定,images/0036_104_35_180.png,masks/0036_104_35_180.png
ASSOC-I001-18-D003,I001,18,I001_000018,D003,MEM-D003,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D003:1.0000|MEM-D005:0.7967|MEM-D001:0.7438,0.2033,,false,K12+008.5,5点,crack,9726,高,基本稳定,images/0036_104_35_270.png,masks/0036_104_35_270.png
ASSOC-I002-18-D003,I002,18,I002_000018,D003,MEM-D003,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D003:1.0000|MEM-D005:0.7967|MEM-D001:0.7438,0.2033,,false,K12+008.5,5点,crack,9726,高,基本稳定,images/0036_104_35_90.png,masks/0036_104_35_90.png
ASSOC-I003-18-D003,I003,18,I003_000018,D003,MEM-D003,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D003:1.0000|MEM-D005:0.7967|MEM-D001:0.7438,0.2033,,false,K12+008.5,5点,crack,9726,高,基本稳定,images/0036_105_35.png,masks/0036_105_35.png
ASSOC-I001-180-D004,I001,180,I001_000180,D004,MEM-D004,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D004:1.0000|MEM-D007:0.6619|MEM-D001:0.6250,0.3381,,false,K12+089.5,11点,spalling,9726,高,基本稳定,images/0036_105_35_180.png,masks/0036_105_35_180.png
ASSOC-I002-180-D004,I002,180,I002_000180,D004,MEM-D004,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D004:1.0000|MEM-D007:0.6619|MEM-D001:0.6250,0.3381,,false,K12+089.5,11点,spalling,9726,高,基本稳定,images/0036_105_35_270.png,masks/0036_105_35_270.png
ASSOC-I003-180-D004,I003,180,I003_000180,D004,MEM-D004,matched,same disease_id plus spatial/area/temporal/risk consistency,1.0000,1.0000,1.0000,1.0000,1.0000,high,hard,10,MEM-D004:1.0000|MEM-D007:0.6619|MEM-D001:0.6250,0.3381,,false,K12+089.5,11点,spalling,9726,高,基本稳定,images/0036_105_35_90.png,masks/0036_105_35_90.png
