disease_id,disease_type,inspection_count,first_inspection,last_inspection,first_area_px,last_area_px,area_growth_px,area_growth_rate,first_mean_area_px,last_mean_area_px,mean_area_growth_rate,first_frame_count,last_frame_count,frame_count_change,first_risk_level,last_risk_level,risk_level_change,growth_trend,attention_level,measurement_basis,claim_level,comparability_status,first_mileage_range,last_mileage_range,main_clock_direction,growth_description
D001,spalling,1,I001,I001,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+019.5,K12+019.5,3点,病害 D001 为剥落，目前仅在 I001 中出现，位于 K12+019.5，3点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D002,spalling,1,I001,I001,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+020.0,K12+020.0,4点,病害 D002 为剥落，目前仅在 I001 中出现，位于 K12+020.0，4点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D003,crack,1,I001,I001,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+008.5,K12+008.5,5点,病害 D003 为裂缝，目前仅在 I001 中出现，位于 K12+008.5，5点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D004,spalling,1,I001,I001,9726,9726,0,0.0,9726.0,9726.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+089.5,K12+089.5,11点,病害 D004 为剥落，目前仅在 I001 中出现，位于 K12+089.5，11点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D005,water_leakage,1,I001,I001,9733,9733,0,0.0,9733.0,9733.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+006.0,K12+006.0,12点,病害 D005 为渗水，目前仅在 I001 中出现，位于 K12+006.0，12点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D006,crack,1,I001,I001,9733,9733,0,0.0,9733.0,9733.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+033.5,K12+033.5,7点,病害 D006 为裂缝，目前仅在 I001 中出现，位于 K12+033.5，7点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D007,water_leakage,1,I001,I001,9733,9733,0,0.0,9733.0,9733.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+082.0,K12+082.0,8点,病害 D007 为渗水，目前仅在 I001 中出现，位于 K12+082.0，8点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D008,water_leakage,1,I001,I001,5692,5692,0,0.0,5692.0,5692.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+017.0,K12+017.0,10点,病害 D008 为渗水，目前仅在 I001 中出现，位于 K12+017.0，10点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D009,spalling,1,I001,I001,5664,5664,0,0.0,5664.0,5664.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+013.5,K12+013.5,3点,病害 D009 为剥落，目前仅在 I001 中出现，位于 K12+013.5，3点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
D010,crack,1,I001,I001,5751,5751,0,0.0,5751.0,5751.0,0.0,1,1,0,高,高,0,数据不足,待补充巡检,single_inspection_area_rule,baseline_only,insufficient_history,K12+019.0,K12+019.0,2点,病害 D010 为裂缝，目前仅在 I001 中出现，位于 K12+019.0，2点方向。由于缺少跨巡检对比数据，当前仅作为基线记录，建议后续巡检继续跟踪。
