association_id,inspection_id,frame_id,image_id,label_disease_id,history_inspection_ids,memory_id,association_status,rule_basis,use_disease_id_score,association_mode,association_score,spatial_distance_score,area_similarity_score,temporal_continuity_score,risk_similarity_score,confidence_level,match_type,candidate_count,top_candidate_ids,score_margin,conflict_reason,needs_manual_review,bbox_fields_present,geometry_score_applied,geometry_feature_available,geometry_limit_note,mileage_text,clock_direction,disease_type,kict_area_px,risk_level,growth_trend,kict_image_path,kict_mask_path
ASSOC-I003-40-I003_000040-1,I003,40,I003_000040,D001,I001|I002,MEM-D001,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D001:0.9216|MEM-D002:0.8738|MEM-D003:0.7966,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+019.5,3点,spalling,9726,高,不可比较,images/0036_103_35_270.png,masks/0036_103_35_270.png
ASSOC-I003-41-I003_000041-2,I003,41,I003_000041,D002,I001|I002,MEM-D002,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D002:0.9216|MEM-D001:0.8738|MEM-D003:0.7929,0.0478,,true,true,false,false,bbox fields present but not used in scoring,K12+020.0,4点,spalling,9726,高,不可比较,images/0036_104_35_180.png,masks/0036_104_35_180.png
ASSOC-I003-18-I003_000018-3,I003,18,I003_000018,D003,I001|I002,MEM-D003,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D003:0.9216|MEM-D005:0.8589|MEM-D001:0.7966,0.0627,,true,true,false,false,bbox fields present but not used in scoring,K12+008.5,5点,crack,9726,高,不可比较,images/0036_105_35.png,masks/0036_105_35.png
ASSOC-I003-180-I003_000180-4,I003,180,I003_000180,D004,I001|I002,MEM-D004,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D004:0.9216|MEM-D007:0.8221|MEM-D001:0.6569,0.0995,,true,true,false,false,bbox fields present but not used in scoring,K12+089.5,11点,spalling,9726,高,不可比较,images/0036_105_35_90.png,masks/0036_105_35_90.png
ASSOC-I003-13-I003_000013-5,I003,13,I003_000013,D005,I001|I002,MEM-D005,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D005:0.9216|MEM-D003:0.8589|MEM-D001:0.7780,0.0627,,true,true,false,false,bbox fields present but not used in scoring,K12+006.0,12点,water_leakage,9733,高,不可比较,images/0036_105_7_270.png,masks/0036_105_7_270.png
ASSOC-I003-68-I003_000068-6,I003,68,I003_000068,D006,I001|I002,MEM-D006,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D006:0.9216|MEM-D002:0.7780|MEM-D001:0.7743,0.1436,,true,true,false,false,bbox fields present but not used in scoring,K12+033.5,7点,crack,9733,高,不可比较,images/0036_106_7_90.png,masks/0036_106_7_90.png
ASSOC-I003-165-I003_000165-7,I003,165,I003_000165,D007,I001|I002,MEM-D007,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.7995,1.0000,0.5848,0.6667,1.0000,medium,soft,10,MEM-D007:0.7995|MEM-D004:0.7003|MEM-D008:0.6569,0.0991,,true,true,false,false,bbox fields present but not used in scoring,K12+082.0,8点,water_leakage,5692,高,不可比较,images/0037_97_49.png,masks/0037_97_49.png
ASSOC-I003-35-I003_000035-8,I003,35,I003_000035,D008,I001|I002,MEM-D008,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D008:0.9216|MEM-D010:0.8597|MEM-D009:0.8503,0.0618,,true,true,false,false,bbox fields present but not used in scoring,K12+017.0,10点,water_leakage,5692,高,不可比较,images/0037_97_49_90.png,masks/0037_97_49_90.png
ASSOC-I003-28-I003_000028-9,I003,28,I003_000028,D009,I001|I002,MEM-D009,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D009:0.9216|MEM-D008:0.8503|MEM-D010:0.8326,0.0713,,true,true,false,false,bbox fields present but not used in scoring,K12+013.5,3点,spalling,5664,高,不可比较,images/0038_103_33_90.png,masks/0038_103_33_90.png
ASSOC-I003-39-I003_000039-10,I003,39,I003_000039,D010,I001|I002,MEM-D010,matched,best scored candidate by spatial/area/temporal/risk similarity,false,no_id,0.9216,1.0000,1.0000,0.6667,1.0000,medium,soft,10,MEM-D010:0.9216|MEM-D008:0.8597|MEM-D009:0.8326,0.0618,,true,true,false,false,bbox fields present but not used in scoring,K12+019.0,2点,crack,5751,高,不可比较,images/0038_103_35_180.png,masks/0038_103_35_180.png
