image_id,inspection_id,frame_id,timestamp,mileage_m,mileage_text,ring_id,clock_direction,disease_id,disease_type,sim_area_px,sim_length_m,sim_width_mm,kict_image_file,kict_mask_file,kict_image_path,kict_mask_path,kict_area_px,kict_bbox_x1,kict_bbox_y1,kict_bbox_x2,kict_bbox_y2,kict_center_x,kict_center_y,kict_mask_width,kict_mask_height,has_crack,observation_source,comparability_status
I001_000040,I001,40,2026-06-01 10:00:39,12019.5,K12+019.5,1016,3点,D001,spalling,1803,0.46,0.0,images/0036_103_35.png,masks/0036_103_35.png,images/0036_103_35.png,masks/0036_103_35.png,9726,0,334,512,424,255.5,378.5,512,90,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000040,I002,40,2026-07-01 10:00:39,12019.5,K12+019.5,1016,3点,D001,spalling,2261,0.577,0.0,images/0036_103_35_180.png,masks/0036_103_35_180.png,images/0036_103_35_180.png,masks/0036_103_35_180.png,9726,0,88,512,178,255.5,132.5,512,90,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000041,I001,41,2026-06-01 10:00:40,12020.0,K12+020.0,1016,4点,D002,spalling,1156,0.71,0.0,images/0036_103_35_90.png,masks/0036_103_35_90.png,images/0036_103_35_90.png,masks/0036_103_35_90.png,9726,334,0,424,512,378.5,255.5,90,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000041,I002,41,2026-07-01 10:00:40,12020.0,K12+020.0,1016,4点,D002,spalling,1492,0.917,0.0,images/0036_104_35.png,masks/0036_104_35.png,images/0036_104_35.png,masks/0036_104_35.png,9726,0,206,512,296,255.5,250.5,512,90,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000018,I001,18,2026-06-01 10:00:17,12008.5,K12+008.5,1007,5点,D003,crack,2869,1.02,1.9,images/0036_104_35_270.png,masks/0036_104_35_270.png,images/0036_104_35_270.png,masks/0036_104_35_270.png,9726,216,0,306,512,260.5,255.5,90,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000018,I002,18,2026-07-01 10:00:17,12008.5,K12+008.5,1007,5点,D003,crack,3520,1.252,2.331,images/0036_104_35_90.png,masks/0036_104_35_90.png,images/0036_104_35_90.png,masks/0036_104_35_90.png,9726,206,0,296,512,250.5,255.5,90,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000180,I001,180,2026-06-01 10:02:59,12089.5,K12+089.5,1074,11点,D004,spalling,1702,0.61,0.0,images/0036_105_35_180.png,masks/0036_105_35_180.png,images/0036_105_35_180.png,masks/0036_105_35_180.png,9726,0,344,512,434,255.5,388.5,512,90,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000180,I002,180,2026-07-01 10:02:59,12089.5,K12+089.5,1074,11点,D004,spalling,2151,0.771,0.0,images/0036_105_35_270.png,masks/0036_105_35_270.png,images/0036_105_35_270.png,masks/0036_105_35_270.png,9726,344,0,434,512,388.5,255.5,90,512,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I001_000013,I001,13,2026-06-01 10:00:12,12006.0,K12+006.0,1005,12点,D005,water_leakage,2531,1.01,0.0,images/0036_105_7.png,masks/0036_105_7.png,images/0036_105_7.png,masks/0036_105_7.png,9733,0,328,512,424,255.5,375.5,512,96,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
I002_000013,I002,13,2026-07-01 10:00:12,12006.0,K12+006.0,1005,12点,D005,water_leakage,3037,1.212,0.0,images/0036_105_7_180.png,masks/0036_105_7_180.png,images/0036_105_7_180.png,masks/0036_105_7_180.png,9733,0,88,512,184,255.5,135.5,512,96,True,kict_static_mask_cyclic_demo,not_longitudinally_comparable
