image_id,inspection_id,frame_id,timestamp,mileage_m,mileage_text,ring_id,clock_direction,disease_id,disease_type,sim_area_px,sim_length_m,sim_width_mm,kict_image_file,kict_mask_file,kict_image_path,kict_mask_path,kict_area_px,kict_bbox_x1,kict_bbox_y1,kict_bbox_x2,kict_bbox_y2,kict_center_x,kict_center_y,kict_mask_width,kict_mask_height,has_crack
I001_000040,I001,40,2026-06-01 10:00:39,12019.5,K12+019.5,1016,3点,D001,spalling,1803,0.46,0.0,images/0036_103_35.png,masks/0036_103_35.png,images/0036_103_35.png,masks/0036_103_35.png,9726,0,334,512,424,255.5,378.5,512,90,True
I001_000041,I001,41,2026-06-01 10:00:40,12020.0,K12+020.0,1016,4点,D002,spalling,1156,0.71,0.0,images/0036_103_35_90.png,masks/0036_103_35_90.png,images/0036_103_35_90.png,masks/0036_103_35_90.png,9726,334,0,424,512,378.5,255.5,90,512,True
I001_000018,I001,18,2026-06-01 10:00:17,12008.5,K12+008.5,1007,5点,D003,crack,2869,1.02,1.9,images/0036_104_35_270.png,masks/0036_104_35_270.png,images/0036_104_35_270.png,masks/0036_104_35_270.png,9726,216,0,306,512,260.5,255.5,90,512,True
I001_000180,I001,180,2026-06-01 10:02:59,12089.5,K12+089.5,1074,11点,D004,spalling,1702,0.61,0.0,images/0036_105_35_180.png,masks/0036_105_35_180.png,images/0036_105_35_180.png,masks/0036_105_35_180.png,9726,0,344,512,434,255.5,388.5,512,90,True
I001_000013,I001,13,2026-06-01 10:00:12,12006.0,K12+006.0,1005,12点,D005,water_leakage,2531,1.01,0.0,images/0036_105_7.png,masks/0036_105_7.png,images/0036_105_7.png,masks/0036_105_7.png,9733,0,328,512,424,255.5,375.5,512,96,True
I001_000068,I001,68,2026-06-01 10:01:07,12033.5,K12+033.5,1027,7点,D006,crack,1218,0.41,0.74,images/0036_105_7_90.png,masks/0036_105_7_90.png,images/0036_105_7_90.png,masks/0036_105_7_90.png,9733,328,0,424,512,375.5,255.5,96,512,True
I001_000165,I001,165,2026-06-01 10:02:44,12082.0,K12+082.0,1068,8点,D007,water_leakage,2681,1.3,0.0,images/0036_107_7_270.png,masks/0036_107_7_270.png,images/0036_107_7_270.png,masks/0036_107_7_270.png,9733,344,0,440,512,391.5,255.5,96,512,True
I001_000035,I001,35,2026-06-01 10:00:34,12017.0,K12+017.0,1014,10点,D008,water_leakage,2281,1.37,0.0,images/0037_97_49_180.png,masks/0037_97_49_180.png,images/0037_97_49_180.png,masks/0037_97_49_180.png,5692,293,0,512,215,402.0,107.0,219,215,True
I001_000028,I001,28,2026-06-01 10:00:27,12013.5,K12+013.5,1011,3点,D009,spalling,1985,0.99,0.0,images/0038_103_33.png,masks/0038_103_33.png,images/0038_103_33.png,masks/0038_103_33.png,5664,324,0,512,213,417.5,106.0,188,213,True
I001_000039,I001,39,2026-06-01 10:00:38,12019.0,K12+019.0,1015,2点,D010,crack,2294,0.5,1.39,images/0038_103_34.png,masks/0038_103_34.png,images/0038_103_34.png,masks/0038_103_34.png,5751,196,0,388,213,291.5,106.0,192,213,True
