association_id,inspection_id,frame_id,image_id,disease_id,memory_id,association_status,rule_basis,association_score,spatial_distance_score,area_similarity_score,temporal_continuity_score,risk_similarity_score,confidence_level,match_type,candidate_count,top_candidate_ids,score_margin,conflict_reason,needs_manual_review,mileage_text,clock_direction,disease_type,kict_area_px,risk_level,growth_trend,kict_image_path,kict_mask_path
ASSOC-I003-40-D001,I003,40,I003_000040,D001,MEM-D001,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D001:0.7833|D002:0.7427|D003:0.6771,0.0406,,true,K12+019.5,3点,spalling,9726,高,基本稳定,images/0036_103_35_270.png,masks/0036_103_35_270.png
ASSOC-I003-41-D002,I003,41,I003_000041,D002,MEM-D002,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D002:0.7833|D001:0.7427|D003:0.6740,0.0406,,true,K12+020.0,4点,spalling,9726,高,基本稳定,images/0036_104_35_180.png,masks/0036_104_35_180.png
ASSOC-I003-18-D003,I003,18,I003_000018,D003,MEM-D003,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D003:0.7833|D005:0.7300|D001:0.6771,0.0533,,true,K12+008.5,5点,crack,9726,高,基本稳定,images/0036_105_35.png,masks/0036_105_35.png
ASSOC-I003-180-D004,I003,180,I003_000180,D004,MEM-D004,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D004:0.7833|D007:0.6988|D001:0.5583,0.0846,,true,K12+089.5,11点,spalling,9726,高,基本稳定,images/0036_105_35_90.png,masks/0036_105_35_90.png
ASSOC-I003-13-D005,I003,13,I003_000013,D005,MEM-D005,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D005:0.7833|D003:0.7300|D001:0.6613,0.0533,,true,K12+006.0,12点,water_leakage,9733,高,基本稳定,images/0036_105_7_270.png,masks/0036_105_7_270.png
ASSOC-I003-68-D006,I003,68,I003_000068,D006,MEM-D006,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D006:0.7833|D002:0.6613|D001:0.6582,0.1221,,true,K12+033.5,7点,crack,9733,高,基本稳定,images/0036_106_7_90.png,masks/0036_106_7_90.png
ASSOC-I003-165-D007,I003,165,I003_000165,D007,MEM-D007,matched,best scored candidate by spatial/area/temporal/risk similarity,0.6795,1.0000,0.5848,0.6667,1.0000,medium,soft,10,D007:0.6795|D004:0.5953|D008:0.5583,0.0843,,true,K12+082.0,8点,water_leakage,5692,高,基本稳定,images/0037_97_49.png,masks/0037_97_49.png
ASSOC-I003-35-D008,I003,35,I003_000035,D008,MEM-D008,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D008:0.7833|D010:0.7308|D009:0.7227,0.0526,,true,K12+017.0,10点,water_leakage,5692,高,基本稳定,images/0037_97_49_90.png,masks/0037_97_49_90.png
ASSOC-I003-28-D009,I003,28,I003_000028,D009,MEM-D009,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D009:0.7833|D008:0.7227|D010:0.7077,0.0606,,true,K12+013.5,3点,spalling,5664,高,基本稳定,images/0038_103_33_90.png,masks/0038_103_33_90.png
ASSOC-I003-39-D010,I003,39,I003_000039,D010,MEM-D010,matched,best scored candidate by spatial/area/temporal/risk similarity,0.7833,1.0000,1.0000,0.6667,1.0000,medium,soft,10,D010:0.7833|D008:0.7308|D009:0.7077,0.0526,,true,K12+019.0,2点,crack,5751,高,基本稳定,images/0038_103_35_180.png,masks/0038_103_35_180.png
