image_id,inspection_id,frame_id,timestamp,mileage_m,mileage_text,ring_id,clock_direction,disease_id,disease_type,sim_area_px,sim_length_m,sim_width_mm,kict_image_file,kict_mask_file,kict_image_path,kict_mask_path,kict_area_px,kict_bbox_x1,kict_bbox_y1,kict_bbox_x2,kict_bbox_y2,kict_center_x,kict_center_y,kict_mask_width,kict_mask_height,has_crack
I003_000040,I003,40,2026-08-01 10:00:39,12019.5,K12+019.5,1016,3点,D001,spalling,2742,0.7,0.0,images/0036_103_35_270.png,masks/0036_103_35_270.png,images/0036_103_35_270.png,masks/0036_103_35_270.png,9726,88,0,178,512,132.5,255.5,90,512,True
I003_000041,I003,41,2026-08-01 10:00:40,12020.0,K12+020.0,1016,4点,D002,spalling,1684,1.034,0.0,images/0036_104_35_180.png,masks/0036_104_35_180.png,images/0036_104_35_180.png,masks/0036_104_35_180.png,9726,0,216,512,306,255.5,260.5,512,90,True
I003_000018,I003,18,2026-08-01 10:00:17,12008.5,K12+008.5,1007,5点,D003,crack,4286,1.524,2.839,images/0036_105_35.png,masks/0036_105_35.png,images/0036_105_35.png,masks/0036_105_35.png,9726,0,78,512,168,255.5,122.5,512,90,True
I003_000180,I003,180,2026-08-01 10:02:59,12089.5,K12+089.5,1074,11点,D004,spalling,2606,0.934,0.0,images/0036_105_35_90.png,masks/0036_105_35_90.png,images/0036_105_35_90.png,masks/0036_105_35_90.png,9726,78,0,168,512,122.5,255.5,90,512,True
I003_000013,I003,13,2026-08-01 10:00:12,12006.0,K12+006.0,1005,12点,D005,water_leakage,3713,1.482,0.0,images/0036_105_7_270.png,masks/0036_105_7_270.png,images/0036_105_7_270.png,masks/0036_105_7_270.png,9733,88,0,184,512,135.5,255.5,96,512,True
I003_000068,I003,68,2026-08-01 10:01:07,12033.5,K12+033.5,1027,7点,D006,crack,1832,0.617,1.113,images/0036_106_7_90.png,masks/0036_106_7_90.png,images/0036_106_7_90.png,masks/0036_106_7_90.png,9733,200,0,296,512,247.5,255.5,96,512,True
I003_000165,I003,165,2026-08-01 10:02:44,12082.0,K12+082.0,1068,8点,D007,water_leakage,4131,2.003,0.0,images/0037_97_49.png,masks/0037_97_49.png,images/0037_97_49.png,masks/0037_97_49.png,5692,0,297,219,512,109.0,404.0,219,215,True
I003_000035,I003,35,2026-08-01 10:00:34,12017.0,K12+017.0,1014,10点,D008,water_leakage,3369,2.023,0.0,images/0037_97_49_90.png,masks/0037_97_49_90.png,images/0037_97_49_90.png,masks/0037_97_49_90.png,5692,297,293,512,512,404.0,402.0,215,219,True
I003_000028,I003,28,2026-08-01 10:00:27,12013.5,K12+013.5,1011,3点,D009,spalling,3005,1.499,0.0,images/0038_103_33_90.png,masks/0038_103_33_90.png,images/0038_103_33_90.png,masks/0038_103_33_90.png,5664,0,0,213,188,106.0,93.5,213,188,True
I003_000039,I003,39,2026-08-01 10:00:38,12019.0,K12+019.0,1015,2点,D010,crack,3326,0.725,2.015,images/0038_103_35_180.png,masks/0038_103_35_180.png,images/0038_103_35_180.png,masks/0038_103_35_180.png,5751,252,299,444,512,347.5,405.0,192,213,True
