disease_id,disease_type,inspection_id,inspection_date,area_px,length_m,width_mm,area_growth_rate,length_growth_rate,width_growth_rate,risk_level
D001,spalling,I001,2026-06-01,1803,0.46,0.0,0.0,0.0,0.0,中
D001,spalling,I002,2026-07-01,2261,0.577,0.0,0.254,0.2543,0.0,中
D001,spalling,I003,2026-08-01,2742,0.7,0.0,0.5208,0.5217,0.0,中
D002,spalling,I001,2026-06-01,1156,0.71,0.0,0.0,0.0,0.0,低
D002,spalling,I002,2026-07-01,1492,0.917,0.0,0.2907,0.2915,0.0,低
D002,spalling,I003,2026-08-01,1684,1.034,0.0,0.4567,0.4563,0.0,中
D003,crack,I001,2026-06-01,2869,1.02,1.9,0.0,0.0,0.0,中
D003,crack,I002,2026-07-01,3520,1.252,2.331,0.2269,0.2275,0.2268,高
D003,crack,I003,2026-08-01,4286,1.524,2.839,0.4939,0.4941,0.4942,高
D004,spalling,I001,2026-06-01,1702,0.61,0.0,0.0,0.0,0.0,中
D004,spalling,I002,2026-07-01,2151,0.771,0.0,0.2638,0.2639,0.0,中
D004,spalling,I003,2026-08-01,2606,0.934,0.0,0.5311,0.5311,0.0,中
D005,water_leakage,I001,2026-06-01,2531,1.01,0.0,0.0,0.0,0.0,中
D005,water_leakage,I002,2026-07-01,3037,1.212,0.0,0.1999,0.2,0.0,高
D005,water_leakage,I003,2026-08-01,3713,1.482,0.0,0.467,0.4673,0.0,高
D006,crack,I001,2026-06-01,1218,0.41,0.74,0.0,0.0,0.0,低
D006,crack,I002,2026-07-01,1507,0.507,0.915,0.2373,0.2366,0.2365,中
D006,crack,I003,2026-08-01,1832,0.617,1.113,0.5041,0.5049,0.5041,中
D007,water_leakage,I001,2026-06-01,2681,1.3,0.0,0.0,0.0,0.0,中
D007,water_leakage,I002,2026-07-01,3416,1.656,0.0,0.2742,0.2738,0.0,高
D007,water_leakage,I003,2026-08-01,4131,2.003,0.0,0.5408,0.5408,0.0,高
D008,water_leakage,I001,2026-06-01,2281,1.37,0.0,0.0,0.0,0.0,中
D008,water_leakage,I002,2026-07-01,2760,1.658,0.0,0.21,0.2102,0.0,中
D008,water_leakage,I003,2026-08-01,3369,2.023,0.0,0.477,0.4766,0.0,高
D009,spalling,I001,2026-06-01,1985,0.99,0.0,0.0,0.0,0.0,中
D009,spalling,I002,2026-07-01,2475,1.235,0.0,0.2469,0.2475,0.0,中
D009,spalling,I003,2026-08-01,3005,1.499,0.0,0.5139,0.5141,0.0,高
D010,crack,I001,2026-06-01,2294,0.5,1.39,0.0,0.0,0.0,中
D010,crack,I002,2026-07-01,2945,0.642,1.785,0.2838,0.284,0.2842,中
D010,crack,I003,2026-08-01,3326,0.725,2.015,0.4499,0.45,0.4496,高
