disease_id,disease_type,start_mileage_m,end_mileage_m,start_mileage_text,end_mileage_text,start_ring,end_ring,clock_direction,base_area_px,base_length_m,base_width_mm,risk_level
D001,spalling,12019.0,12020.1,K12+019.0,K12+020.1,1015,1016,3点,1803,0.46,0.0,中
D002,spalling,12018.0,12020.4,K12+018.0,K12+020.4,1015,1016,4点,1156,0.71,0.0,低
D003,crack,12008.5,12009.7,K12+008.5,K12+009.7,1007,1008,5点,2869,1.02,1.9,中
D004,spalling,12088.0,12090.4,K12+088.0,K12+090.4,1073,1075,11点,1702,0.61,0.0,中
D005,water_leakage,12005.5,12008.0,K12+005.5,K12+008.0,1004,1006,12点,2531,1.01,0.0,中
D006,crack,12032.5,12035.4,K12+032.5,K12+035.4,1027,1029,7点,1218,0.41,0.74,低
D007,water_leakage,12082.0,12083.5,K12+082.0,K12+083.5,1068,1069,8点,2681,1.3,0.0,中
D008,water_leakage,12015.0,12017.1,K12+015.0,K12+017.1,1012,1014,10点,2281,1.37,0.0,中
D009,spalling,12013.5,12014.6,K12+013.5,K12+014.6,1011,1012,3点,1985,0.99,0.0,中
D010,crack,12017.5,12019.3,K12+017.5,K12+019.3,1014,1016,2点,2294,0.5,1.39,中
