image_id,inspection_id,frame_id,disease_id,disease_type,mileage_m,mileage_text,ring_id,clock_direction,area_px,length_m,width_mm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence
I001_000040,I001,40,D001,spalling,12019.5,K12+019.5,1016,3点,1803,0.46,0.0,175,273,245,310,0.937
I002_000040,I002,40,D001,spalling,12019.5,K12+019.5,1016,3点,2261,0.577,0.0,388,138,444,225,0.978
I003_000040,I003,40,D001,spalling,12019.5,K12+019.5,1016,3点,2742,0.7,0.0,224,350,341,449,0.872
I001_000041,I001,41,D002,spalling,12020.0,K12+020.0,1016,4点,1156,0.71,0.0,32,412,75,469,0.87
I002_000041,I002,41,D002,spalling,12020.0,K12+020.0,1016,4点,1492,0.917,0.0,216,290,286,326,0.96
I003_000041,I003,41,D002,spalling,12020.0,K12+020.0,1016,4点,1684,1.034,0.0,511,202,587,257,0.962
I001_000018,I001,18,D003,crack,12008.5,K12+008.5,1007,5点,2869,1.02,1.9,146,135,264,221,0.842
I002_000018,I002,18,D003,crack,12008.5,K12+008.5,1007,5点,3520,1.252,2.331,269,382,376,478,0.914
I003_000018,I003,18,D003,crack,12008.5,K12+008.5,1007,5点,4286,1.524,2.839,370,112,480,191,0.98
I001_000180,I001,180,D004,spalling,12089.5,K12+089.5,1074,11点,1702,0.61,0.0,505,46,558,139,0.941
I002_000180,I002,180,D004,spalling,12089.5,K12+089.5,1074,11点,2151,0.771,0.0,163,405,213,452,0.929
I003_000180,I003,180,D004,spalling,12089.5,K12+089.5,1074,11点,2606,0.934,0.0,394,195,506,231,0.915
I001_000013,I001,13,D005,water_leakage,12006.0,K12+006.0,1005,12点,2531,1.01,0.0,257,283,352,378,0.958
I002_000013,I002,13,D005,water_leakage,12006.0,K12+006.0,1005,12点,3037,1.212,0.0,549,384,586,426,0.863
I003_000013,I003,13,D005,water_leakage,12006.0,K12+006.0,1005,12点,3713,1.482,0.0,114,150,232,221,0.89
I001_000068,I001,68,D006,crack,12033.5,K12+033.5,1027,7点,1218,0.41,0.74,269,256,363,284,0.942
I002_000068,I002,68,D006,crack,12033.5,K12+033.5,1027,7点,1507,0.507,0.915,305,430,405,471,0.922
I003_000068,I003,68,D006,crack,12033.5,K12+033.5,1027,7点,1832,0.617,1.113,156,191,269,244,0.942
I001_000165,I001,165,D007,water_leakage,12082.0,K12+082.0,1068,8点,2681,1.3,0.0,0,306,105,401,0.872
I002_000165,I002,165,D007,water_leakage,12082.0,K12+082.0,1068,8点,3416,1.656,0.0,371,425,409,467,0.949
I003_000165,I003,165,D007,water_leakage,12082.0,K12+082.0,1068,8点,4131,2.003,0.0,246,290,312,325,0.972
I001_000035,I001,35,D008,water_leakage,12017.0,K12+017.0,1014,10点,2281,1.37,0.0,70,389,116,479,0.905
I002_000035,I002,35,D008,water_leakage,12017.0,K12+017.0,1014,10点,2760,1.658,0.0,486,281,538,325,0.846
I003_000035,I003,35,D008,water_leakage,12017.0,K12+017.0,1014,10点,3369,2.023,0.0,216,276,319,358,0.941
I001_000028,I001,28,D009,spalling,12013.5,K12+013.5,1011,3点,1985,0.99,0.0,408,343,469,410,0.924
I002_000028,I002,28,D009,spalling,12013.5,K12+013.5,1011,3点,2475,1.235,0.0,462,61,554,155,0.86
I003_000028,I003,28,D009,spalling,12013.5,K12+013.5,1011,3点,3005,1.499,0.0,21,301,65,372,0.909
I001_000039,I001,39,D010,crack,12019.0,K12+019.0,1015,2点,2294,0.5,1.39,7,36,118,92,0.933
I002_000039,I002,39,D010,crack,12019.0,K12+019.0,1015,2点,2945,0.642,1.785,69,16,112,73,0.958
I003_000039,I003,39,D010,crack,12019.0,K12+019.0,1015,2点,3326,0.725,2.015,243,142,288,235,0.927
