image_id,inspection_id,frame_id,timestamp,mileage_m,mileage_text,ring_id,clock_direction,image_path
I001_000001,I001,1,2026-06-01 10:00:00,12000.0,K12+000.0,1000,12点,data/images/I001_000001.jpg
I001_000002,I001,2,2026-06-01 10:00:01,12000.5,K12+000.5,1000,1点,data/images/I001_000002.jpg
I001_000003,I001,3,2026-06-01 10:00:02,12001.0,K12+001.0,1000,2点,data/images/I001_000003.jpg
I001_000004,I001,4,2026-06-01 10:00:03,12001.5,K12+001.5,1001,3点,data/images/I001_000004.jpg
I001_000005,I001,5,2026-06-01 10:00:04,12002.0,K12+002.0,1001,4点,data/images/I001_000005.jpg
I001_000006,I001,6,2026-06-01 10:00:05,12002.5,K12+002.5,1002,5点,data/images/I001_000006.jpg
I001_000007,I001,7,2026-06-01 10:00:06,12003.0,K12+003.0,1002,6点,data/images/I001_000007.jpg
I001_000008,I001,8,2026-06-01 10:00:07,12003.5,K12+003.5,1002,7点,data/images/I001_000008.jpg
I001_000009,I001,9,2026-06-01 10:00:08,12004.0,K12+004.0,1003,8点,data/images/I001_000009.jpg
I001_000010,I001,10,2026-06-01 10:00:09,12004.5,K12+004.5,1003,9点,data/images/I001_000010.jpg
I001_000011,I001,11,2026-06-01 10:00:10,12005.0,K12+005.0,1004,10点,data/images/I001_000011.jpg
I001_000012,I001,12,2026-06-01 10:00:11,12005.5,K12+005.5,1004,11点,data/images/I001_000012.jpg
I001_000013,I001,13,2026-06-01 10:00:12,12006.0,K12+006.0,1005,12点,data/images/I001_000013.jpg
I001_000014,I001,14,2026-06-01 10:00:13,12006.5,K12+006.5,1005,1点,data/images/I001_000014.jpg
I001_000015,I001,15,2026-06-01 10:00:14,12007.0,K12+007.0,1005,2点,data/images/I001_000015.jpg
I001_000016,I001,16,2026-06-01 10:00:15,12007.5,K12+007.5,1006,3点,data/images/I001_000016.jpg
I001_000017,I001,17,2026-06-01 10:00:16,12008.0,K12+008.0,1006,4点,data/images/I001_000017.jpg
I001_000018,I001,18,2026-06-01 10:00:17,12008.5,K12+008.5,1007,5点,data/images/I001_000018.jpg
I001_000019,I001,19,2026-06-01 10:00:18,12009.0,K12+009.0,1007,6点,data/images/I001_000019.jpg
I001_000020,I001,20,2026-06-01 10:00:19,12009.5,K12+009.5,1007,7点,data/images/I001_000020.jpg
I001_000021,I001,21,2026-06-01 10:00:20,12010.0,K12+010.0,1008,8点,data/images/I001_000021.jpg
I001_000022,I001,22,2026-06-01 10:00:21,12010.5,K12+010.5,1008,9点,data/images/I001_000022.jpg
I001_000023,I001,23,2026-06-01 10:00:22,12011.0,K12+011.0,1009,10点,data/images/I001_000023.jpg
I001_000024,I001,24,2026-06-01 10:00:23,12011.5,K12+011.5,1009,11点,data/images/I001_000024.jpg
I001_000025,I001,25,2026-06-01 10:00:24,12012.0,K12+012.0,1010,12点,data/images/I001_000025.jpg
I001_000026,I001,26,2026-06-01 10:00:25,12012.5,K12+012.5,1010,1点,data/images/I001_000026.jpg
I001_000027,I001,27,2026-06-01 10:00:26,12013.0,K12+013.0,1010,2点,data/images/I001_000027.jpg
I001_000028,I001,28,2026-06-01 10:00:27,12013.5,K12+013.5,1011,3点,data/images/I001_000028.jpg
I001_000029,I001,29,2026-06-01 10:00:28,12014.0,K12+014.0,1011,4点,data/images/I001_000029.jpg
I001_000030,I001,30,2026-06-01 10:00:29,12014.5,K12+014.5,1012,5点,data/images/I001_000030.jpg
